Heliostat ID,Pos-x,Pos-y,Pos-z,Aim-x,Aim-y,Aim-z,Track-x,Track-y,Track-z,Reflectivity,Soiling,Total eff,Cosine eff,Attenuation,Blocking,Shading,Intercept eff.,Annual efficiency,
1087,210.89,317.51,0.00,4.70,7.08,150.00,-0.318,-0.553,0.770,0.9500,0.9500,0.7556,0.8778,0.9537,1.0000,1.0000,1.0000,0.7019,
994,169.36,323.08,0.00,3.95,7.53,150.00,-0.267,-0.574,0.774,0.9500,0.9500,0.7580,0.8832,0.9552,0.9955,1.0000,1.0000,0.7040,
1344,-200.97,383.38,0.00,-3.95,7.53,150.00,0.229,-0.602,0.765,0.9500,0.9500,0.7350,0.8579,0.9493,1.0000,1.0000,1.0000,0.6955,
155,-165.74,39.73,0.00,-8.27,1.98,150.00,0.366,-0.202,0.908,0.9500,0.9500,0.8001,0.9131,0.9709,1.0000,1.0000,1.0000,0.6965,
629,-220.68,187.77,0.00,-6.47,5.51,150.00,0.357,-0.438,0.825,0.9500,0.9500,0.7624,0.8786,0.9615,1.0000,1.0000,1.0000,0.6961,
899,59.68,342.65,0.00,1.46,8.37,150.00,-0.113,-0.618,0.778,0.9500,0.9500,0.7339,0.8891,0.9566,0.9561,1.0000,1.0000,0.7081,
1537,128.29,453.14,0.00,2.32,8.18,150.00,-0.176,-0.644,0.745,0.9500,0.9500,0.7380,0.8644,0.9460,1.0000,1.0000,1.0000,0.6985,
1448,167.35,419.78,0.00,3.15,7.90,150.00,-0.228,-0.621,0.750,0.9500,0.9500,0.7415,0.8669,0.9477,1.0000,1.0000,1.0000,0.6982,
244,-180.87,71.38,0.00,-7.91,3.12,150.00,0.375,-0.267,0.888,0.9500,0.9500,0.7918,0.9053,0.9692,1.0000,1.0000,1.0000,0.6961,
827,216.41,250.24,0.00,5.56,6.43,150.00,-0.359,-0.498,0.789,0.9500,0.9500,0.7673,0.8874,0.9580,1.0000,1.0000,1.0000,0.7008,
1253,-205.34,360.88,0.00,-4.20,7.39,150.00,0.244,-0.589,0.770,0.9500,0.9500,0.7380,0.8601,0.9508,1.0000,1.0000,1.0000,0.6960,
463,200.30,153.55,0.00,6.75,5.17,150.00,-0.397,-0.395,0.829,0.9500,0.9500,0.7896,0.9070,0.9646,1.0000,1.0000,1.0000,0.6996,
1536,96.76,460.91,0.00,1.75,8.32,150.00,-0.139,-0.653,0.745,0.9500,0.9500,0.7381,0.8645,0.9460,1.0000,1.0000,1.0000,0.6990,
1528,-159.22,443.22,0.00,-2.87,8.00,150.00,0.162,-0.638,0.752,0.9500,0.9500,0.7307,0.8558,0.9460,1.0000,1.0000,1.0000,0.6975,
1161,-208.40,338.55,0.00,-4.46,7.24,150.00,0.258,-0.575,0.776,0.9500,0.9500,0.7412,0.8624,0.9523,1.0000,1.0000,1.0000,0.6961,
524,201.48,171.43,0.00,6.47,5.51,150.00,-0.388,-0.418,0.821,0.9500,0.9500,0.7862,0.9041,0.9636,1.0000,1.0000,1.0000,0.7008,
